index,chembl_id,smiles,ic50,mw
71,CHEMBL4165299,O=C(NCCCCCCNCc1c[nH]c2ccccc12)c1cc(Cl)nc(Cl)c1,4700,419.36
72,CHEMBL2022933,C#CCN1CCc2nc3nc(N4CCCC4)c(C#N)cc3c(N)c2C1,82000,332.41
73,CHEMBL4077192,O=C(NCC1CCCN(C2Cc3ccccc3C2)C1)c1cccc2ccccc12,67,384.52
74,CHEMBL636,CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1,370,250.34
75,CHEMBL1783533,CC(C)C1=N[C@H]2CC[C@]34C[C@]35C(=O)C[C@]3(C)[C@@H]([C@H](C)N(C)C)[C@H](O)C[C@@]3(C)[C@@H]5CC[C@H]4[C@]2(C)N1,7224,469.71
76,CHEMBL253386,CCOC(=O)c1c(C)nc2nc3c(c(N)c2c1-c1ccccc1)CCCC3,5000,361.45
77,CHEMBL189907,CNC(=O)Oc1cccc2c1CCC1CCN(C)C21,24.5,260.34
78,CHEMBL1940615,CCN(CCCCCCNC1=CC(=O)C(OC)=CC1=O)Cc1ccccc1OC,22800,400.52
79,CHEMBL4285471,CCN(CC)CCCCOc1ccc(/C=C2\COc3ccccc3C2=O)cc1,11300,379.5
80,CHEMBL1940614,CCN(CCCCCCNC1=CC(=O)C(C)=C(C)C1=O)Cc1ccccc1OC,314,398.55
81,CHEMBL1940616,COc1ccccc1CNCCCCCCNC1=CC(=O)c2ccccc2C1=O,3320,392.5
82,CHEMBL4294570,CN(C)CCN(CC1CCCN(C2Cc3ccccc3C2)C1)C(=O)c1ccc2cccc(O)c2n1,11.1,472.63
83,CHEMBL4291165,CN(C)CCN(CC1CCCN(C2Cc3ccccc3C2)C1)C(=O)c1cc(O)c2cccc(O)c2n1,19,488.63
84,CHEMBL4284141,CN(C)CCN(CC1CCCN(C2Cc3ccccc3C2)C1)C(=O)c1cccc(O)c1,2485.1,421.59
85,CHEMBL4287511,CN(C)CCN(CC1CCCN(C2Cc3ccccc3C2)C1)C(=O)c1ccc(O)cc1O,460.4,437.58
86,CHEMBL4277879,Cc1[nH]c2ccccc2c1CC(=O)NCCC1CCN(Cc2ccccc2)CC1,1.09,389.54
87,CHEMBL4168179,Nc1c2c(nc3c1C(c1ccc4c(c1)OCO4)NC(=S)N3)CCCC2,37500,354.44
88,CHEMBL329491,Cc1cccc2c1OP(=O)(OCC1C=CC(n3cnc4c(N)ncnc43)O1)OC2,1200,415.35
89,CHEMBL3236093,COc1ccc(/C=C/C(=O)Nc2cc(OC)c(OC)c(OC)c2)cc1O,7650,359.38
90,CHEMBL278020,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,49100,223.3
91,CHEMBL1940612,CCN(CCCCCCNC1=CC(=O)c2ccccc2C1=O)Cc1ccccc1OC,1490,420.55
92,CHEMBL1940618,COc1ccccc1CN1CCC(N2CCC(NC3=CC(=O)c4ccccc4C3=O)CC2)CC1,3160,459.59
93,CHEMBL1940619,COC1=CC(=O)C(N2CCC(C3CCN(Cc4ccccc4OC)CC3)CC2)=CC1=O,3580,424.54
94,CHEMBL4280612,Nc1c2c(nc3cc(Cl)ccc13)C[C@H]1C=C(CCCCn3cc(CO)nn3)C[C@H]2C1,210,423.95
95,CHEMBL133388,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C,200,276.37
96,CHEMBL336398,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC1CC1,900,376.91
97,CHEMBL2396912,c1ccc2[nH]c(N3CCCCC3)nc2c1,1570,201.27
98,CHEMBL1466313,COc1ccc(C2=Nn3c(nnc3-c3cccnc3)SC2)cc1,781,323.38
99,CHEMBL470715,CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2[C@@H]1c1ccc(OC)cc1)CCCC3,11000,393.49
100,CHEMBL124156,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc(-c3ccccc3)cc2)c1,42.6,404.51
101,CHEMBL3912680,Nc1c2c(nc3c1C(c1ccccc1)c1c(-c4ccco4)n[nH]c1O3)CCCC2,15,384.44
102,CHEMBL496259,CN[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C(=O)[C@@H](NC(=O)C=C(C)C)CC[C@]4(C)[C@H]3CC[C@]12C,600,426.65
103,CHEMBL373651,Cn1c2ccc(O)cc2c2cc[n+](C)cc21,32200,213.26
104,CHEMBL3393674,C=CC[C@@H]1[C@H](O)[C@@H](OCc2ccccc2)[C@H](O)CN1CCCCCCCC,3000,375.55
105,CHEMBL1916766,Nc1c2c(nc3oc(-c4ccccc4)cc13)CCCC2,3780,264.33
106,CHEMBL104732,COc1ccccc1/C=C/C(=O)c1ccccc1,27000,238.29
107,CHEMBL3260556,CCSc1ccccc1-c1cnc(-c2ccsc2)[nH]1,100,286.43
108,CHEMBL456881,O=c1c2ccccc2nc2n1CCC2,25100,186.21
109,CHEMBL4583405,Oc1ccc(CNc2ccc(-c3nc4ccccc4o3)cc2)cc1,4710,316.36
110,CHEMBL4645476,CN(C)C(=O)Oc1ccc(C(O)CNC2CCCCC2)cc1.Cl,10600,342.87
111,CHEMBL2396910,CN(C)CCCN(c1nc2ccccc2[nH]1)c1nc2ccccc2[nH]1,2260,334.43
